"Date","Price","Open","High","Low","Vol.","Change %"
"04/13/2026","709.90","712.50","713.00","708.20","7.71K","0.81%"
"04/10/2026","704.20","708.20","712.20","702.00","23.03K","-0.63%"
"04/09/2026","708.70","705.50","717.30","705.50","27.99K","0.54%"
"04/08/2026","704.90","718.00","718.00","703.20","50.28K","-2.02%"
"04/07/2026","719.40","726.20","729.60","718.10","30.10K","-0.99%"
"04/06/2026","726.60","727.00","729.20","721.00","17.04K","-0.06%"
"04/02/2026","727.00","718.00","730.50","717.30","26.33K","1.18%"
"04/01/2026","718.50","731.80","734.70","718.10","26.61K","-1.82%"
"03/31/2026","731.80","727.20","735.90","724.50","27.57K","0.56%"
"03/30/2026","727.70","720.80","735.50","720.10","30.13K","1.00%"
"03/27/2026","720.50","727.40","733.50","715.30","21.87K","-1.22%"
"03/26/2026","729.40","726.30","732.30","726.00","20.16K","0.30%"
"03/25/2026","727.20","720.00","728.20","715.70","22.06K","0.46%"
"03/24/2026","723.90","720.00","726.60","711.10","25.56K","0.67%"
"03/23/2026","719.10","725.00","732.00","708.70","40.58K","-1.02%"
"03/20/2026","726.50","727.30","733.00","725.00","24.28K","-0.25%"
"03/19/2026","728.30","726.60","732.90","722.40","36.25K","0.29%"
"03/18/2026","726.20","729.20","738.80","721.10","41.74K","-0.45%"
"03/17/2026","729.50","703.00","731.10","703.00","51.13K","3.83%"
"03/16/2026","702.60","739.30","740.90","700.60","44.23K","-3.59%"
"03/13/2026","728.80","728.80","728.80","728.80","","0.77%"
"03/12/2026","723.20","723.20","723.20","723.20","","0.14%"
"03/11/2026","722.20","722.20","722.20","722.20","","1.86%"
"03/10/2026","709.00","709.00","709.00","709.00","","-0.89%"
"03/09/2026","715.40","715.40","715.40","715.40","","-0.63%"
"03/06/2026","719.90","719.90","719.90","719.90","","1.48%"
"03/05/2026","709.40","709.40","709.40","709.40","","1.50%"
"03/04/2026","698.90","698.90","698.90","698.90","","0.40%"
"03/03/2026","696.10","696.10","696.10","696.10","","1.12%"
"03/02/2026","688.40","690.00","690.00","690.00","0.01K","2.03%"
"02/27/2026","674.70","681.70","687.00","673.00","2.49K","-0.87%"
"02/26/2026","680.60","676.90","682.20","673.50","2.74K","0.13%"
"02/25/2026","679.70","680.00","681.30","670.00","4.98K","-0.07%"
"02/24/2026","680.20","677.00","680.40","674.40","12.61K","0.49%"
"02/23/2026","676.90","674.60","681.20","671.80","9.67K","0.34%"
"02/20/2026","674.60","672.30","676.30","660.20","12.94K","0.30%"
"02/19/2026","672.60","669.40","674.10","666.70","22.09K","0.36%"
"02/18/2026","670.20","662.50","671.40","662.50","16.05K","1.16%"
"02/17/2026","662.50","665.90","668.30","659.50","20.99K","-0.15%"
"02/13/2026","663.50","667.20","667.20","657.10","22.32K","-0.64%"
"02/12/2026","667.80","662.00","668.60","661.70","25.70K","0.77%"
"02/11/2026","662.70","666.30","666.70","657.20","50.64K","-0.69%"
"02/10/2026","667.30","664.70","667.50","660.30","30.21K","0.24%"
"02/09/2026","665.70","659.10","666.70","658.40","38.18K","0.74%"
"02/06/2026","660.80","663.00","666.30","657.40","30.39K","-0.33%"
"02/05/2026","663.00","658.20","663.80","655.50","30.68K","0.59%"
"02/04/2026","659.10","650.30","660.00","647.60","39.30K","1.51%"
"02/03/2026","649.30","645.00","654.30","645.00","26.21K","0.67%"
"02/02/2026","645.00","647.50","647.60","640.70","26.29K","-0.46%"
"01/30/2026","648.00","648.60","651.90","645.20","24.99K","-0.11%"
"01/29/2026","648.70","649.80","655.30","646.30","28.93K","-0.23%"
"01/28/2026","650.20","646.70","652.70","646.60","30.01K","0.54%"
"01/27/2026","646.70","645.90","652.80","643.80","25.96K","-0.06%"
"01/26/2026","647.10","645.00","652.10","643.10","40.47K","-0.71%"
"01/23/2026","651.70","646.10","652.20","643.60","36.33K","0.70%"
"01/22/2026","647.20","645.00","647.80","639.60","26.38K","0.11%"
"01/21/2026","646.50","636.20","648.60","635.00","42.77K","1.62%"
"01/20/2026","636.20","638.50","644.90","634.00","36.70K","-0.44%"
"01/19/2026","639.00","637.10","643.90","637.10","12.31K","-0.08%"
"01/16/2026","639.50","633.60","651.10","632.60","70.79K","0.80%"
"01/15/2026","634.40","629.50","642.10","622.90","49.80K","3.12%"
"01/14/2026","615.20","615.20","615.20","615.20","","-0.74%"
"01/13/2026","619.80","619.80","619.80","619.80","","1.97%"
"01/12/2026","607.80","607.80","607.80","607.80","","-0.47%"
"01/09/2026","610.70","610.70","610.70","610.70","","-0.36%"
"01/08/2026","612.90","612.90","612.90","612.90","","0.97%"
"01/07/2026","607.00","607.00","607.00","607.00","","1.02%"
"01/06/2026","600.90","600.90","600.90","600.90","","0.52%"
"01/05/2026","597.80","597.80","597.80","597.80","","1.17%"
"01/02/2026","590.90","590.90","590.90","590.90","","0.25%"
"12/31/2025","589.40","593.10","593.10","592.90","0.16K","-0.87%"
"12/30/2025","594.60","591.20","592.80","590.50","2.34K","0.85%"
"12/29/2025","589.60","602.30","602.40","590.00","2.18K","-1.50%"
"12/24/2025","598.60","597.00","610.00","593.80","6.00K","0.45%"
"12/23/2025","595.90","602.50","604.20","592.30","7.57K","-0.95%"
"12/22/2025","601.60","581.70","605.10","581.70","13.85K","3.44%"
"12/19/2025","581.60","588.40","589.10","578.70","13.21K","-1.14%"
"12/18/2025","588.30","596.80","599.40","588.10","23.64K","-1.41%"
"12/17/2025","596.70","599.50","601.20","593.00","13.89K","-0.23%"
"12/16/2025","598.10","601.50","605.40","594.40","15.97K","-0.63%"
"12/15/2025","601.90","605.40","608.80","601.20","16.13K","-0.76%"
"12/12/2025","606.50","619.80","621.90","605.00","26.65K","-2.38%"
"12/11/2025","621.30","615.30","622.70","613.40","32.90K","0.96%"
"12/10/2025","615.40","619.90","624.00","614.10","29.81K","-0.73%"
"12/09/2025","619.90","612.00","622.60","611.50","34.30K","1.01%"
"12/08/2025","613.70","617.10","621.10","610.00","38.31K","-0.68%"
"12/05/2025","617.90","626.10","629.60","613.40","40.51K","-1.14%"
"12/04/2025","625.00","630.10","633.00","620.00","40.15K","-0.67%"
"12/03/2025","629.20","643.00","644.40","628.00","36.27K","-2.42%"
"12/02/2025","644.80","647.10","652.10","643.50","26.23K","-0.37%"
"12/01/2025","647.20","650.70","653.00","644.10","28.85K","-0.54%"
"11/28/2025","650.70","650.60","655.10","650.00","18.41K","-0.14%"
"11/27/2025","651.60","650.00","654.90","646.30","12.26K","-0.02%"
"11/26/2025","651.70","647.20","654.00","645.90","19.40K","0.56%"
"11/25/2025","648.10","641.60","649.60","640.60","19.32K","0.61%"
"11/24/2025","644.20","642.20","646.80","636.50","18.60K","0.48%"
"11/21/2025","641.10","650.10","652.20","640.70","20.90K","-1.40%"
"11/20/2025","650.20","650.20","657.60","648.50","21.96K","-0.03%"
