"Date","Price","Open","High","Low","Vol.","Change %"
"04/10/2026","1,156.25","1,156.25","1,156.25","1,156.25","","-1.28%"
"04/09/2026","1,171.25","1,171.25","1,171.25","1,171.25","","1.06%"
"04/08/2026","1,159.00","1,159.00","1,159.00","1,159.00","0.08K","-2.07%"
"04/07/2026","1,183.50","1,183.50","1,183.50","1,183.50","","-0.84%"
"04/06/2026","1,193.50","1,193.50","1,193.50","1,193.50","","0.13%"
"04/03/2026","1,192.00","1,192.00","1,192.00","1,192.00","","0.00%"
"04/02/2026","1,192.00","1,192.00","1,192.00","1,192.00","","0.78%"
"04/01/2026","1,182.75","1,182.75","1,182.75","1,182.75","0.40K","3.93%"
"03/31/2026","1,138.00","1,138.00","1,138.00","1,138.00","","0.04%"
"03/30/2026","1,137.50","1,137.50","1,137.50","1,137.50","","0.26%"
"03/27/2026","1,134.50","1,134.50","1,134.50","1,134.50","","0.09%"
"03/26/2026","1,133.50","1,133.50","1,133.50","1,133.50","","0.22%"
"03/25/2026","1,131.00","1,131.00","1,131.00","1,131.00","","-0.29%"
"03/24/2026","1,134.25","1,134.25","1,134.25","1,134.25","","-0.70%"
"03/23/2026","1,142.25","1,142.25","1,142.25","1,142.25","","0.00%"
"03/20/2026","1,142.25","1,142.25","1,142.25","1,142.25","","0.00%"
"03/19/2026","1,142.25","1,142.25","1,142.25","1,142.25","","0.48%"
"03/18/2026","1,136.75","1,136.75","1,136.75","1,136.75","","-0.35%"
"03/17/2026","1,140.75","1,140.75","1,140.75","1,140.75","","-0.67%"
"03/16/2026","1,148.50","1,148.50","1,148.50","1,148.50","","0.90%"
"03/13/2026","1,138.25","1,138.25","1,138.25","1,138.25","","0.46%"
"03/12/2026","1,133.00","1,133.00","1,133.00","1,133.00","","0.53%"
"03/11/2026","1,127.00","1,127.00","1,127.00","1,127.00","","1.19%"
"03/10/2026","1,113.75","1,113.75","1,113.75","1,113.75","","-1.55%"
"03/09/2026","1,131.25","1,131.25","1,131.25","1,131.25","","2.93%"
"03/06/2026","1,099.00","1,099.00","1,099.00","1,099.00","","2.83%"
"03/05/2026","1,068.75","1,068.75","1,068.75","1,068.75","","0.75%"
"03/04/2026","1,060.75","1,060.75","1,060.75","1,060.75","","-0.54%"
"03/03/2026","1,066.50","1,066.50","1,066.50","1,066.50","0.12K","0.45%"
"03/02/2026","1,061.75","1,061.75","1,061.75","1,061.75","0.24K","1.43%"
"02/27/2026","1,046.75","1,046.75","1,046.75","1,046.75","","0.05%"
"02/26/2026","1,046.25","1,046.25","1,046.25","1,046.25","","-0.12%"
"02/25/2026","1,047.50","1,047.50","1,047.50","1,047.50","","0.00%"
"02/24/2026","1,047.50","1,047.50","1,047.50","1,047.50","","-0.21%"
"02/23/2026","1,049.75","1,049.75","1,049.75","1,049.75","","0.10%"
"02/20/2026","1,048.75","1,048.75","1,048.75","1,048.75","","-0.17%"
"02/19/2026","1,050.50","1,050.50","1,050.50","1,050.50","","0.86%"
"02/18/2026","1,041.50","1,041.50","1,041.50","1,041.50","","0.00%"
"02/17/2026","1,041.50","1,041.50","1,041.50","1,041.50","","-0.31%"
"02/13/2026","1,044.75","1,044.75","1,044.75","1,044.75","","0.12%"
"02/12/2026","1,043.50","1,043.50","1,043.50","1,043.50","","-0.17%"
"02/11/2026","1,045.25","1,045.25","1,045.25","1,045.25","","-0.45%"
"02/10/2026","1,050.00","1,050.00","1,050.00","1,050.00","","-1.01%"
"02/09/2026","1,060.75","1,060.75","1,060.75","1,060.75","","0.59%"
"02/06/2026","1,054.50","1,054.50","1,054.50","1,054.50","","-1.29%"
"02/05/2026","1,068.25","1,068.25","1,068.25","1,068.25","","-0.72%"
"02/04/2026","1,076.00","1,076.00","1,076.00","1,076.00","","0.80%"
"02/03/2026","1,067.50","1,067.50","1,067.50","1,067.50","","-0.61%"
"02/02/2026","1,074.00","1,074.00","1,074.00","1,074.00","","5.19%"
"01/30/2026","1,021.00","1,021.00","1,021.00","1,021.00","","-0.12%"
"01/29/2026","1,022.25","1,022.25","1,022.25","1,022.25","","0.10%"
"01/28/2026","1,021.25","1,021.25","1,021.25","1,021.25","","0.20%"
"01/27/2026","1,019.25","1,019.25","1,019.25","1,019.25","","0.22%"
"01/26/2026","1,017.00","1,017.00","1,017.00","1,017.00","","0.57%"
"01/23/2026","1,011.25","1,011.25","1,011.25","1,011.25","","0.05%"
"01/22/2026","1,010.75","1,010.75","1,010.75","1,010.75","","0.45%"
